gender,age,Investment_Avenues,Mutual_Funds,Equity_Market,Debentures,Government_Bonds,Fixed_Deposits,PPF,Gold,Stock_Marktet,Factor,Objective,Purpose,Duration,Invest_Monitor,Expect,Avenue,What are your savings objectives?,Reason_Equity,Reason_Mutual,Reason_Bonds,Reason_FD,Source,Is_Outlier_LOF
Male,32.6,Yes,2,4,7,5,3,1,6,Yes,Risk,Growth,Wealth Creation,1-3 years,Monthly,20%-30%,Mutual Fund,Unknown,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Unknown,FALSE
Male,28,Yes,2,4,6,5,3,1,7,Yes,Risk,Growth,Savings for Future,Less than 1 year,Weekly,20%-30%,Public Provident Fund,Health Care,Liquidity,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Female,37,Yes,2,4,7,69.93907057,3,1,6,yes_err,Risk,Unknown,Savings for Future,Unknown,Daily,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Female,21,No,1,2,3,4,5,6,7,No,Returns,Capital Appreciation,Savings for Future,1-3 years,Monthly,10%-20%_err,Mutual Fund,Education,Dividend,Better Returns,Unknown,Unknown,Internet,FALSE
Male,25,Yes,2,3,6,4,1,5,18.0936777,Yes,Returns,Capital Appreciation,Returns,1-3 years,Weekly,10%-20%,Mutual Fund,Education,Dividend,Better Returns,Safe Investment,Risk Free,Newspapers and Magazines,FALSE
Female,28,Yes,2,3,7,5,4,1,6,Unknown,Unknown,Capital Appreciation,Wealth Creation,Unknown,Weekly,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,better returns_err,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Female,29.2,Yes,3,46.38680213,4,2,5,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Equity,Unknown,Capital Appreciation,Better Returns,Assured Returns,High Interest Rates,Financial Consultants,FALSE
Unknown,20,Yes,2,1,3,7,6,4,5,Yes,Returns,Income,Wealth Creation,3-5 years,Daily,10%-20%,Public Provident Fund,Retirement Plan,Dividend,Fund Diversification,Tax Incentives,High Interest Rates,Internet,FALSE
male_err,21,Yes,38.91517435,3,7,4,6,1,5,Yes,Risk,Capital Appreciation,Wealth Creation,1-3 years,Daily,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Male,27,Yes,3,4,6,5,1,2,62.4683885,Yes,Risk,Capital Appreciation,Wealth Creation,3-5 years,Daily,10%-20%,Unknown,Health Care,capital appreciation_err,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Male,31,Yes,2,3,6,5,18.97069229,4,7,Yes,Unknown,Capital Appreciation,Wealth Creation,More than 5 years,Weekly,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Unknown,FALSE
Male,28,Yes,1,3,7,4,5,2,6,yes_err,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Weekly,10%-20%,Equity,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,FALSE
Male,23,Yes,2,3,6,4,1,5,62.4683885,nan_err,Returns,Capital Appreciation,Returns,More than 5 years,Daily,30%-40%,Equity,Education,Dividend,Better Returns,Safe Investment,Risk Free,Newspapers and Magazines,FALSE
Female,31,Yes,3,46.38680213,7,5,1,12.98575403,6.2,Yes,Risk,Growth,Wealth Creation,3-5 years,monthly_err,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Unknown,FALSE
Male,31,Yes,3,6,4,2,5,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,fixed deposits_err,Retirement Plan,Capital Appreciation,Tax Benefits,Assured Returns,Fixed Returns,Television,FALSE
Female,26,No,7,5,4,6,3,1,2,No,Risk,Capital Appreciation,Wealth Creation,1-3 years,Monthly,30%-40%,Public Provident Fund,Retirement Plan,Liquidity,fund diversification_err,Safe Investment,Risk Free,Internet,FALSE
Female,22,No,2,1,3,6,4,5,7,No,Returns,Income,Wealth Creation,3-5 years,Daily,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Safe Investment,Risk Free,Internet,FALSE
Female,21,No,2,1,3,6,4,5,7,No,Returns,Income,Wealth Creation,Unknown,Weekly,30%-40%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Safe Investment,Risk Free,Internet,FALSE
Male,29,Unknown,3,4,6,5,2,1,7,Yes,Returns,Capital Appreciation,Unknown,Less than 1 year,Weekly,30%-40%_err,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Male,32.6,Yes,2,4,7,5,3,1,6,Unknown,Returns,Growth,Savings for Future,1-3 years,Monthly,10%-20%_err,Equity,retirement plan_err,Capital Appreciation,Fund Diversification,Safe Investment,Unknown,Television,FALSE
Male,28,Yes,2,3,6,5,4,3.397150807,62.4683885,Yes,returns_err,Capital Appreciation,Wealth Creation,Less than 1 year,Unknown,Unknown,Unknown,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,FALSE
Male,27,Yes,3,4,6,5,1,2,7,Yes,Risk,Capital Appreciation,Unknown,More than 5 years,Daily,10%-20%,Fixed Deposits,Unknown,Capital Appreciation,Unknown,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Male,30,Yes,2,3,6,5,4,1,7,Yes,Unknown,Capital Appreciation,Wealth Creation,Unknown,Weekly,30%-40%,Equity,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,FALSE
Male,30,Yes,3,2,7,4,5,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Monthly,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,assured returns_err,Risk Free,Financial Consultants,FALSE
Female,31,Yes,3,2,7,5,4,1,6,Yes,Risk,Growth,Wealth Creation,Less than 1 year,Weekly,30%-40%,Public Provident Fund,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Unknown,Television,FALSE
Male,25,Yes,2,4,6,5,3,1,7,Unknown,Unknown,Growth,Savings for Future,1-3 years,Weekly,20%-30%,Public Provident Fund,Health Care,Unknown,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Unknown,29,Yes,3,6,4,2,5,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Weekly,Unknown,Mutual Fund,Retirement Plan,Capital Appreciation,Tax Benefits,Assured Returns,Fixed Returns,Television,FALSE
Female,33,Yes,2,4,7,6,3,12.98575403,5,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Daily,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Unknown,FALSE
Male,27,Yes,2,3,6,5,4,1,7,Yes,Returns,capital appreciation_err,Unknown,1-3 years,Weekly,10%-20%,Mutual Fund,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,FALSE
Male,23,Yes,5,4,7,6,1,2,3,Yes,Risk,Growth,Savings for Future,3-5 years,Weekly,10%-20%,Equity,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,FALSE
Female,18,No,1,2,3,4,5,6,7,No,Returns,Capital Appreciation,Savings for Future,More than 5 years,Daily,30%-40%,Fixed Deposits,Education,Dividend,Better Returns,Safe Investment,Risk Free,Internet,FALSE
Female,25,Yes,2,3,7,5,4,1,6,yes_err,Returns,Capital Appreciation,Wealth Creation,1-3 years,Daily,10%-20%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Male,32,Yes,2,4,7,5,3,1,6,yes_err,Returns,Growth,Unknown,Less than 1 year,Monthly,10%-20%_err,Public Provident Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,FALSE
Male,24,Yes,2,1,3,7,6,4,5,Yes,Returns,Income,Wealth Creation,Less than 1 year,Weekly,10%-20%,Equity,Retirement Plan,Dividend,Fund Diversification,Tax Incentives,High Interest Rates,Internet,FALSE
Female,31,Yes,2,3,7,4,45.92673072,1,5.2,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,30%-40%,Fixed Deposits,Retirement Plan,Capital Appreciation,Fund Diversification,nan_err,Risk Free,Newspapers and Magazines,FALSE
Male,31,Yes,2,4,7,69.93907057,1,3,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Weekly,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Unknown,Risk Free,Newspapers and Magazines,FALSE
Female,33,yes_err,2,4,33.77904611,5,3,1,6,Unknown,Risk,Growth,Savings for Future,More than 5 years,Weekly,20%-30%,Mutual Fund,Retirement Plan,capital appreciation_err,Better Returns,Assured Returns,Risk Free,Unknown,FALSE
Male,31,Yes,3,6,4,2,5,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Weekly,10%-20%,equity_err,Retirement Plan,Capital Appreciation,Tax Benefits,Assured Returns,Fixed Returns,Television,FALSE
Male,32,Yes,2,3,7,6,4,1,5,Yes,Risk,Growth,Savings for Future,3-5 years,Daily,30%-40%,mutual fund_err,Health Care,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,FALSE
Male,26,Yes,2,3,6,5,1,4,18.0936777,Yes,Returns,Capital Appreciation,Unknown,More than 5 years,Unknown,10%-20%,Unknown,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Television,FALSE
Male,36,Yes,2,4,7,5,3,1,6,Yes,Returns,Growth,Savings for Future,Less than 1 year,Unknown,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Fund Diversification,Safe Investment,Unknown,Television,FALSE
Male,29,Yes,3,6,4,2,5,1,7,Yes,Returns,Unknown,Wealth Creation,Less than 1 year,Daily,20%-30%,Public Provident Fund,Retirement Plan,Capital Appreciation,Tax Benefits,Assured Returns,Fixed Returns,Television,FALSE
Female,24,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Daily,20%-30%,Mutual Fund,Retirement Plan,Unknown,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Male,24,Yes,2,3,6,4,45.92673072,5,18.0936777,Yes,Returns,Capital Appreciation,Returns,3-5 years,Weekly,20%-30%,Equity,Education,Dividend,Better Returns,Safe Investment,Risk Free,Newspapers and Magazines,FALSE
Male,28,Yes,2,5,7,6,3,1,4,Yes,Unknown,Capital Appreciation,Unknown,More than 5 years,Monthly,10%-20%,Equity,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Financial Consultants,FALSE
Male,32.6,Yes,2,4,7,5,3,1,6,Yes,Returns,Growth,Savings for Future,1-3 years,Weekly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,FALSE
Female,26,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,Unknown,Monthly,30%-40%,Mutual Fund,Health Care,dividend_err,Better Returns,Assured Returns,Unknown,Financial Consultants,FALSE
Unknown,28,Yes,4,3,5,7,2,1,17.2936777,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Daily,10%-20%,Mutual Fund,Retirement Plan,Dividend,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,FALSE
Female,27,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Weekly,30%-40%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Female,24,No,2,1,3,6,4,5,7,no_err,Returns,Unknown,Wealth Creation,3-5 years,Unknown,30%-40%,Mutual Fund,Retirement Plan,Unknown,Better Returns,Safe Investment,Risk Free,Internet,FALSE
Unknown,38,Yes,2,4,7,5,45.92673072,1,6,Yes,Risk,Growth,Savings for Future,3-5 years,Daily,20%-30%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Male,27,Yes,2,3,6,4,1,5,7,Yes,Returns,Capital Appreciation,Returns,Less than 1 year,Daily,10%-20%,Equity,Education,Dividend,Better Returns,Safe Investment,Risk Free,Newspapers and Magazines,FALSE
Male,22,Yes,2,4,6,5,3,1,7,Yes,Risk,Growth,Savings for Future,Less than 1 year,weekly_err,10%-20%,Mutual Fund,Health Care,Liquidity,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Unknown,26,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Fixed Deposits,Health Care,Dividend,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Male,24.2,Yes,5,4,7,6,1,2,62.4683885,Yes,Risk,Growth,Savings for Future,More than 5 years,Weekly,Unknown,Fixed Deposits,Health Care,Capital Appreciation,Better Returns,Safe Investment,Unknown,Financial Consultants,FALSE
Male,23,Yes,2,3,7,4,6,1,5,Yes,Risk,Capital Appreciation,Wealth Creation,More than 5 years,Monthly,30%-40%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Unknown,Newspapers and Magazines,FALSE
Female,23,No,2,1,3,6,4,5,7,No,Returns,nan_err,Wealth Creation,Less than 1 year,Weekly,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Safe Investment,Risk Free,Internet,FALSE
Male,29,Yes,3,2,7,4,5,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Weekly,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Female,23,No,7,5,4,6,3,1,2,No,Risk,Unknown,Wealth Creation,1-3 years,monthly_err,10%-20%,Public Provident Fund,Retirement Plan,Liquidity,Fund Diversification,Safe Investment,risk free_err,Internet,FALSE
Male,27,Yes,2,4,7,5,1,3,6,yes_err,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Daily,Unknown,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Female,20,No,1,2,3,4,5,6,29.1873554,No,Returns,Capital Appreciation,Savings for Future,Less than 1 year,Daily,10%-20%,Fixed Deposits,Education,Dividend,Better Returns,Safe Investment,risk free_err,Internet,FALSE
Male,34,Yes,38.91517435,46.38680213,7,6,4,1,5,yes_err,Risk,Growth,Savings for Future,More than 5 years,Weekly,20%-30%,Fixed Deposits,Health Care,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,FALSE
Female,21,No,2,1,3,6,4,5,7,No,Returns,Income,Wealth Creation,More than 5 years,Weekly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Safe Investment,Risk Free,Internet,FALSE
Unknown,18,No,1,2,3,4,5,6,7,No,Returns,capital appreciation_err,Savings for Future,3-5 years,Daily,20%-30%,Fixed Deposits,Education,Dividend,Better Returns,Safe Investment,Risk Free,Internet,FALSE
Male,32,Yes,4,3,5,69.93907057,2,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Daily,10%-20%,Public Provident Fund,Retirement Plan,Unknown,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,FALSE
Female,34,Yes,2,4,7,6,3,12.98575403,5,Yes,returns_err,Capital Appreciation,Wealth Creation,3-5 years,Unknown,30%-40%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,FALSE
Male,31,yes_err,2,3,6,5,1,4,7,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Unknown,30%-40%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Television,FALSE
Male,27,Yes,3,6,4,2,5,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Daily,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,Unknown,Assured Returns,Fixed Returns,Television,FALSE
Unknown,27,Yes,4,3,5,7,2,1,6,yes_err,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Weekly,30%-40%,Public Provident Fund,Retirement Plan,Dividend,Better Returns,Safe Investment,Fixed Returns,Unknown,FALSE
Male,29,Yes,2,3,6,4,1,5,7,Yes,Returns,Capital Appreciation,Returns,More than 5 years,Weekly,10%-20%,Unknown,Education,Dividend,Better Returns,Safe Investment,Risk Free,Newspapers and Magazines,FALSE
Male,27,Yes,4,3,5,7,2,1,6,Yes,Returns,Capital Appreciation,Unknown,3-5 years,Monthly,10%-20%,Fixed Deposits,Retirement Plan,Dividend,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,FALSE
Male,24,Yes,3,4,6,5,1,2,7,Unknown,returns_err,Capital Appreciation,Wealth Creation,More than 5 years,Monthly,30%-40%,Mutual Fund,Retirement Plan,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Financial Consultants,FALSE
Female,19,No,1,2,3,4,5,6,7,No,Returns,Capital Appreciation,Savings for Future,More than 5 years,Daily,20%-30%,Mutual Fund,Education,Unknown,Better Returns,Safe Investment,Risk Free,Internet,FALSE
Male,29,Yes,2,46.38680213,7,5,1,3,6,Yes,Unknown,Capital Appreciation,Wealth Creation,more than 5 years_err,Monthly,10%-20%,Equity,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,FALSE
Female,22,No,7,5,4,6,3,1,2,No,Risk,Capital Appreciation,Wealth Creation,More than 5 years,Monthly,20%-30%,Unknown,Retirement Plan,Liquidity,Fund Diversification,Safe Investment,Risk Free,Internet,FALSE
Male,22,Unknown,2,4,6,5,3,1,7,Yes,Risk,Growth,Savings for Future,1-3 years,Weekly,30%-40%,Fixed Deposits,nan_err,Liquidity,Better Returns,Assured Returns,risk free_err,Financial Consultants,FALSE
Male,28,Yes,3,2,7,4,5,1,6,Yes,Unknown,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Male,27,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Weekly,20%-30%,Public Provident Fund,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Male,26,Yes,4,3,5,7,2,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years_err,Weekly,10%-20%,Public Provident Fund,Retirement Plan,Dividend,Unknown,Safe Investment,Fixed Returns,Financial Consultants,FALSE
Male,28,Yes,2,3,7,6,4,1,5,Yes,Risk,Growth,savings for future_err,More than 5 years,Monthly,30%-40%,Fixed Deposits,Health Care,Capital Appreciation,Fund Diversification,Safe Investment,Unknown,Television,FALSE
Male,28,Yes,2,4,7,5,1,3,6,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,10%-20%,Fixed Deposits,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,FALSE
Female,23,No,1,2,3,4,5,6,7,No,Returns,Capital Appreciation,Savings for Future,More than 5 years,Daily,30%-40%,Unknown,Education,Dividend,Better Returns,Safe Investment,Risk Free,Internet,FALSE
Male,33,Yes,1,4,6,5,3,2,7,Yes,Risk,Growth,Wealth Creation,1-3 years,Daily,10%-20%,Equity,Health Care,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,FALSE
Male,28,Yes,3,4,6,5,1,2,7,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Weekly,30%-40%,Fixed Deposits,Retirement Plan,dividend_err,Fund Diversification,Assured Returns,Fixed Returns,Financial Consultants,FALSE
Male,25,Yes,5,4,7,6,1,2,3,Yes,Risk,Growth,Savings for Future,Less than 1 year,Weekly,20%-30%,Fixed Deposits,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,FALSE
Female,24,Yes,3,6,4,2,5,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Weekly,20%-30%,Mutual Fund,Retirement Plan,Unknown,Better Returns,Assured Returns,High Interest Rates,Financial Consultants,FALSE
Female,24,No,2,1,3,6,4,5,7,no_err,Returns,Income,Wealth Creation,1-3 years,Monthly,10%-20%,Public Provident Fund,Unknown,Unknown,Better Returns,Safe Investment,Risk Free,Internet,FALSE
Male,27,Yes,4,5,1,2,7,3,62.4683885,No,Returns,Growth,Wealth Creation,1-3 years,Monthly,20%-30%,Public Provident Fund,Education,Capital Appreciation,Tax Benefits,Safe Investment,Fixed Returns,Television,FALSE
Male,26,Yes,2.8,4,6,5,2,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Weekly,30%-40%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Male,31,Yes,1,3,7,4,5,2,6,Unknown,Unknown,Capital Appreciation,Wealth Creation,Less than 1 year,Daily,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,FALSE
Female,33,Yes,2,4,7,6,3,1,5,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Daily,20%-30%,public provident fund_err,Unknown,Capital Appreciation,Better Returns,Assured Returns,Unknown,Financial Consultants,FALSE
Female,36,Yes,5,4,3,2,7,1,6,Yes,Unknown,Income,Returns,3-5 years,Monthly,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Tax Benefits,Safe Investment,Fixed Returns,Newspapers and Magazines,FALSE
Male,31,Yes,2,4,7,5,3,1,6,Yes,Risk,Unknown,Wealth Creation,More than 5 years,Monthly,20%-30%,Unknown,Health Care,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,FALSE
Male,24,Yes,38.91517435,5,1,2.4,7,12.98575403,6,Unknown,Returns,Growth,Wealth Creation,Less than 1 year,Daily,30%-40%,Unknown,Unknown,Capital Appreciation,Tax Benefits,Safe Investment,Fixed Returns,Television,FALSE
Male,24,Yes,3,2,7,4,5,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Daily,30%-40%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Male,32,Yes,1,4,6,5,3,2,7,Yes,Risk,Growth,Wealth Creation,Less than 1 year,Monthly,20%-30%,Public Provident Fund,Health Care,Capital Appreciation,Better Returns,Unknown,Fixed Returns,Financial Consultants,FALSE
female_err,25,Unknown,4,3,2,1,5,6,7,Unknown,Locking Period,Unknown,Unknown,Less than 1 year,Weekly,30%-40%,Fixed Deposits,Health Care,Dividend,better returns_err,Safe Investment,High Interest Rates,Financial Consultants,FALSE
Female,18,No,1,2,3,4,5,6,7,No,Returns,Capital Appreciation,Savings for Future,3-5 years,Daily,10%-20%,Fixed Deposits,Education,Dividend,Better Returns,Unknown,Risk Free,Internet,FALSE
Male,29.2,Yes,2,3,6,5,1,4,7,Yes,Returns,Capital Appreciation,Wealth Creation,Unknown,Daily,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Unknown,FALSE
Male,31,Yes,2,5,7,6,3,1,4,Yes,Risk,Capital Appreciation,Wealth Creation,3-5 years,Monthly,30%-40%,Equity,Retirement Plan,Unknown,Fund Diversification,Unknown,Fixed Returns,Financial Consultants,FALSE
Male,34,yes_err,2,4,7,5,45.92673072,1,6,Yes,Risk,Growth,Unknown,Less than 1 year,Monthly,10%-20%,Mutual Fund,Health Care,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,FALSE
Female,23,Yes,4,3,2,1,5,6,7,No,Locking Period,Unknown,Unknown,More than 5 years,Monthly,20%-30%,Equity,Health Care,Dividend,Better Returns,Safe Investment,High Interest Rates,Financial Consultants,FALSE
Female,31.4,Yes,2,4,7,6,3,1,5,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,FALSE
Male,27,Yes,3,4,6,5,1,2,7,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Daily,10%-20%,Public Provident Fund,Retirement Plan,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Financial Consultants,FALSE
Female,31,Yes,3,2,7,5,4,1,6,Yes,Risk,Growth,Wealth Creation,Less than 1 year,Unknown,30%-40%,Public Provident Fund,Health Care,Capital Appreciation,Fund Diversification,Unknown,Risk Free,Unknown,FALSE
Unknown,32,Yes,38.91517435,3,5,7,2,1,6,Yes,Unknown,Capital Appreciation,Wealth Creation,Less than 1 year,Daily,30%-40%,Public Provident Fund,Retirement Plan,Dividend,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,FALSE
Male,30,Yes,4,5,1,2,7,3,6,Unknown,Returns,Growth,Wealth Creation,More than 5 years,Daily,30%-40%,Fixed Deposits,Education,Capital Appreciation,Tax Benefits,Safe Investment,Fixed Returns,Television,FALSE
Male,29,Yes,2,3,6,4,1,5,7,Yes,Returns,Capital Appreciation,Returns,3-5 years,Weekly,20%-30%,Mutual Fund,Education,Dividend,Better Returns,Safe Investment,Risk Free,Newspapers and Magazines,FALSE
Unknown,27,Yes,2,4,6,5,3,1,7,Unknown,Risk,Growth,Savings for Future,3-5 years,Weekly,20%-30%,Fixed Deposits,Health Care,Liquidity,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Male,25,Yes,2,3,6,5,4,1,7,Yes,Returns,Unknown,Wealth Creation,Unknown,Weekly,20%-30%,Equity,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,FALSE
Female,22,No,7,5,4,6,3,1,2,No,Risk,Capital Appreciation,Wealth Creation,1-3 years,Daily,20%-30%,Mutual Fund,Retirement Plan,Liquidity,Fund Diversification,Safe Investment,Risk Free,Internet,FALSE
Male,28,Yes,3,2,7,4,5,1,6,Yes,Risk,Capital Appreciation,Wealth Creation,More than 5 years,Weekly,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Female,36,Yes,5,4,3,2,7,1,6,Yes,Returns,Income,Returns,3-5 years,Weekly,30%-40%,Mutual Fund,Retirement Plan,Capital Appreciation,Unknown,Safe Investment,Fixed Returns,Newspapers and Magazines,FALSE
Female,28,Yes,3,6,4,2,5,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Daily,30%-40%,Mutual Fund,Unknown,Capital Appreciation,Better Returns,Assured Returns,High Interest Rates,Financial Consultants,FALSE
Male,32,Yes,1,3,7,4,5,2,6,Yes,Returns,Capital Appreciation,Wealth Creation,Unknown,Monthly,10%-20%_err,Equity,Retirement Plan,Capital Appreciation,Fund Diversification,assured returns_err,Fixed Returns,Unknown,FALSE
Female,32,Yes,2,4,7,6,3,1,5,Yes,Unknown,Capital Appreciation,Wealth Creation,1-3 years,Weekly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,financial consultants_err,FALSE
Male,29,Yes,2,3,6,69.93907057,1,5,7,Yes,Returns,Capital Appreciation,Returns,3-5 years,Daily,30%-40%,public provident fund_err,Education,Dividend,better returns_err,Safe Investment,Risk Free,Newspapers and Magazines,FALSE
