Age,Gender,Education Level,Job Title,Years of Experience,Salary,Age Group,Experience Band
44.0,Female,Phd,Senior Data Scientist,16.0,160000.0,35-44,15-19 yrs
31.0,Male,Bachelor's,Junior Marketing Coordinator,3.0,55000.0,25-34,2-4 yrs
43.0,Male,Master's,Director Of Operations,19.0,170000.0,35-44,15-19 yrs
31.0,Male,Master's,Data Scientist,6.0,160000.0,25-34,5-9 yrs
28.0,Female,Bachelor's,Software Engineer,3.0,125000.0,25-34,2-4 yrs
26.0,Male,Master's,Product Manager,2.0,120000.0,25-34,2-4 yrs
27.0,Female,Bachelor's,Data Analyst,2.0,110000.0,25-34,2-4 yrs
30.0,Male,Phd,Data Scientist,5.0,180000.0,25-34,5-9 yrs
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0,25-34,2-4 yrs
32.0,Male,Bachelor's,Product Manager,7.0,170000.0,25-34,5-9 yrs
25.0,Female,Master's,Data Analyst,1.0,100000.0,25-34,0-1 yrs
33.0,Male,Phd,Data Scientist,8.0,190000.0,25-34,5-9 yrs
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0,25-34,5-9 yrs
28.0,Male,Master's,Product Manager,3.0,130000.0,25-34,2-4 yrs
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0,25-34,5-9 yrs
27.0,Male,Phd,Data Scientist,2.0,115000.0,25-34,2-4 yrs
34.0,Male,Bachelor's,Product Manager,9.0,185000.0,25-34,5-9 yrs
28.0,Male,Bachelor's,Software Engineer,3.0,125000.0,25-34,2-4 yrs
26.0,Female,Master's,Product Manager,2.0,120000.0,25-34,2-4 yrs
27.0,Male,Bachelor's,Data Analyst,2.0,110000.0,25-34,2-4 yrs
30.0,Female,Phd,Data Scientist,5.0,180000.0,25-34,5-9 yrs
29.0,Male,Bachelor's,Software Engineer,4.0,140000.0,25-34,2-4 yrs
26.0,Male,Bachelor's,Data Analyst,3.0,130000.0,25-34,2-4 yrs
29.0,Female,Master's,Data Scientist,6.0,180000.0,25-34,5-9 yrs
32.0,Male,Bachelor's,Software Engineer,8.0,190000.0,25-34,5-9 yrs
27.0,Female,Bachelor's,Product Manager,4.0,150000.0,25-34,2-4 yrs
24.0,Male,Bachelor's,Data Analyst,1.0,90000.0,18-24,0-1 yrs
31.0,Female,Master's,Data Scientist,9.0,195000.0,25-34,5-9 yrs
28.0,Male,Bachelor's,Software Engineer,5.0,160000.0,25-34,5-9 yrs
33.0,Female,Master's,Product Manager,11.0,198000.0,25-34,10-14 yrs
25.0,Male,Bachelor's,Data Analyst,2.0,110000.0,25-34,2-4 yrs
30.0,Female,Phd,Data Scientist,7.0,185000.0,25-34,5-9 yrs
27.0,Male,Bachelor's,Software Engineer,4.0,140000.0,25-34,2-4 yrs
34.0,Female,Master's,Product Manager,12.0,196000.0,25-34,10-14 yrs
23.0,Male,Bachelor's,Data Analyst,1.0,95000.0,18-24,0-1 yrs
32.0,Female,Phd,Data Scientist,10.0,193000.0,25-34,10-14 yrs
29.0,Male,Bachelor's,Software Engineer,6.0,175000.0,25-34,5-9 yrs
30.0,Female,Bachelor's,Product Manager,5.0,160000.0,25-34,5-9 yrs
31.0,Female,Master's,Data Scientist,6.0,180000.0,25-34,5-9 yrs
31.0,Male,Bachelor's,Data Analyst,9.0,195000.0,25-34,5-9 yrs
28.0,Female,Bachelor's,Software Engineer,5.0,160000.0,25-34,5-9 yrs
33.0,Male,Master's,Product Manager,11.0,198000.0,25-34,10-14 yrs
26.0,Female,Bachelor's,Data Analyst,3.0,130000.0,25-34,2-4 yrs
30.0,Male,Phd,Data Scientist,7.0,185000.0,25-34,5-9 yrs
27.0,Female,Bachelor's,Software Engineer,4.0,140000.0,25-34,2-4 yrs
34.0,Male,Master's,Product Manager,12.0,196000.0,25-34,10-14 yrs
25.0,Female,Bachelor's,Data Analyst,2.0,110000.0,25-34,2-4 yrs
30.0,Male,Bachelor's,Data Analyst,5.0,160000.0,25-34,5-9 yrs
31.0,Female,Phd,Data Scientist,9.0,195000.0,25-34,5-9 yrs
25.0,Male,Bachelor's,Data Analyst,2.0,125000.0,25-34,2-4 yrs
28.0,Female,Master's,Data Scientist,6.0,175000.0,25-34,5-9 yrs
30.0,Male,Bachelor's,Software Engineer,8.0,190000.0,25-34,5-9 yrs
24.0,Male,Bachelor's,Data Analyst,1.0,95000.0,18-24,0-1 yrs
31.0,Male,Master's,Data Scientist,9.0,195000.0,25-34,5-9 yrs
23.0,Male,Bachelor's,Data Analyst,1.0,90000.0,18-24,0-1 yrs
29.0,Male,Bachelor's,Software Engineer,6.0,170000.0,25-34,5-9 yrs
26.0,Male,Bachelor's,Data Analyst,3.0,135000.0,25-34,2-4 yrs
25.0,Male,Bachelor's,Data Analyst,2.0,115000.0,25-34,2-4 yrs
27.0,Female,Master's,Data Scientist,4.0,150000.0,25-34,2-4 yrs
24.0,Female,Bachelor's,Product Manager,3.0,125000.0,18-24,2-4 yrs
31.0,Male,Master's,Data Scientist,7.0,180000.0,25-34,5-9 yrs
33.0,Female,Master's,Product Manager,10.0,195000.0,25-34,10-14 yrs
30.0,Female,Phd,Data Scientist,6.0,170000.0,25-34,5-9 yrs
34.0,Female,Master's,Product Manager,11.0,196000.0,25-34,10-14 yrs
23.0,Male,Bachelor's,Data Analyst,1.0,92000.0,18-24,0-1 yrs
32.0,Female,Phd,Data Scientist,9.0,195000.0,25-34,5-9 yrs
28.0,Male,Bachelor's,Software Engineer,5.0,165000.0,25-34,5-9 yrs
25.0,Male,Bachelor's,Data Analyst,3.0,135000.0,25-34,2-4 yrs
33.0,Female,Master's,Product Manager,11.0,196000.0,25-34,10-14 yrs
24.0,Male,Bachelor's,Data Analyst,1.0,92000.0,18-24,0-1 yrs
32.0,Male,Bachelor's,Data Analyst,5.0,135000.0,25-34,5-9 yrs
27.0,Female,Master's,Data Scientist,3.0,180000.0,25-34,2-4 yrs
40.0,Male,Bachelor's,Software Engineer,12.0,195000.0,35-44,10-14 yrs
35.0,Female,Bachelor's,Product Manager,8.0,165000.0,35-44,5-9 yrs
43.0,Male,Master's,Data Scientist,15.0,198000.0,35-44,15-19 yrs
29.0,Female,Bachelor's,Software Engineer,4.0,150000.0,25-34,2-4 yrs
36.0,Male,Bachelor's,Data Analyst,9.0,162000.0,35-44,5-9 yrs
31.0,Male,Master's,Data Scientist,6.0,175000.0,25-34,5-9 yrs
42.0,Female,Bachelor's,Software Engineer,13.0,197000.0,35-44,10-14 yrs
33.0,Male,Bachelor's,Data Analyst,7.0,142000.0,25-34,5-9 yrs
29.0,Female,Master's,Data Scientist,4.0,182000.0,25-34,2-4 yrs
41.0,Male,Bachelor's,Software Engineer,11.0,185000.0,35-44,10-14 yrs
35.0,Female,Bachelor's,Product Manager,8.0,170000.0,35-44,5-9 yrs
27.0,Male,Bachelor's,Software Engineer,4.0,160000.0,25-34,2-4 yrs
32.0,Male,Bachelor's,Data Scientist,8.0,180000.0,25-34,5-9 yrs
29.0,Female,Master's,Data Analyst,6.0,150000.0,25-34,5-9 yrs
30.0,Male,Bachelor's,Data Analyst,5.0,140000.0,25-34,5-9 yrs
24.0,Male,Bachelor's,Data Analyst,2.0,100000.0,18-24,2-4 yrs
33.0,Female,Master's,Product Manager,11.0,190000.0,25-34,10-14 yrs
26.0,Male,Bachelor's,Data Analyst,3.0,120000.0,25-34,2-4 yrs
30.0,Female,Phd,Data Scientist,7.0,170000.0,25-34,5-9 yrs
31.0,Male,Bachelor's,Data Analyst,9.0,190000.0,25-34,5-9 yrs
28.0,Female,Bachelor's,Software Engineer,5.0,150000.0,25-34,5-9 yrs
26.0,Female,Bachelor's,Data Analyst,3.0,120000.0,25-34,2-4 yrs
30.0,Male,Phd,Data Scientist,7.0,170000.0,25-34,5-9 yrs
27.0,Female,Bachelor's,Product Manager,4.0,130000.0,25-34,2-4 yrs
24.0,Male,Bachelor's,Data Analyst,2.0,95000.0,18-24,2-4 yrs
33.0,Male,Master's,Product Manager,11.0,195000.0,25-34,10-14 yrs
25.0,Male,Bachelor's,Data Analyst,2.0,100000.0,25-34,2-4 yrs
28.0,Male,Bachelor's,Software Engineer,5.0,150000.0,25-34,5-9 yrs
29.0,Female,Master's,Data Scientist,6.0,150000.0,25-34,5-9 yrs
33.0,Female,Master's,Product Manager,11.0,195000.0,25-34,10-14 yrs
31.0,Female,Master's,Data Scientist,6.0,170000.0,25-34,5-9 yrs
32.0,Male,Bachelor's,Software Engineer,8.0,180000.0,25-34,5-9 yrs
34.0,Female,Master's,Product Manager,12.0,190000.0,25-34,10-14 yrs
25.0,Female,Bachelor's,Data Analyst,2.0,100000.0,25-34,2-4 yrs
29.0,Male,Bachelor's,Software Engineer,7.0,180000.0,25-34,5-9 yrs
27.0,Female,Bachelor's,Data Analyst,5.0,120000.0,25-34,5-9 yrs
33.0,Male,Master's,Data Scientist,10.0,195000.0,25-34,10-14 yrs
28.0,Male,Bachelor's,Software Engineer,4.0,160000.0,25-34,2-4 yrs
26.0,Female,Bachelor's,Data Analyst,3.0,100000.0,25-34,2-4 yrs
31.0,Male,Bachelor's,Product Manager,8.0,190000.0,25-34,5-9 yrs
30.0,Male,Master's,Software Engineer,6.0,170000.0,25-34,5-9 yrs
32.0,Female,Bachelor's,Data Scientist,9.0,185000.0,25-34,5-9 yrs
29.0,Male,Bachelor's,Data Analyst,7.0,130000.0,25-34,5-9 yrs
35.0,Female,Bachelor's,Product Manager,12.0,190000.0,35-44,10-14 yrs
27.0,Male,Bachelor's,Software Engineer,5.0,150000.0,25-34,5-9 yrs
28.0,Female,Master's,Data Scientist,6.0,150000.0,25-34,5-9 yrs
37.0,Male,Phd,Product Manager,14.0,195000.0,35-44,10-14 yrs
26.0,Male,Bachelor's,Data Analyst,3.0,110000.0,25-34,2-4 yrs
30.0,Female,Bachelor's,Software Engineer,8.0,180000.0,25-34,5-9 yrs
31.0,Male,Master's,Data Scientist,9.0,185000.0,25-34,5-9 yrs
29.0,Female,Bachelor's,Data Analyst,7.0,130000.0,25-34,5-9 yrs
32.0,Male,Bachelor's,Software Engineer,10.0,190000.0,25-34,10-14 yrs
28.0,Female,Master's,Data Scientist,6.0,155000.0,25-34,5-9 yrs
34.0,Male,Bachelor's,Software Engineer,12.0,195000.0,25-34,10-14 yrs
25.0,Female,Bachelor's,Data Analyst,2.0,90000.0,25-34,2-4 yrs
30.0,Male,Bachelor's,Product Manager,8.0,185000.0,25-34,5-9 yrs
29.0,Female,Bachelor's,Data Analyst,6.0,120000.0,25-34,5-9 yrs
31.0,Male,Bachelor's,Software Engineer,9.0,180000.0,25-34,5-9 yrs
27.0,Female,Bachelor's,Data Analyst,5.0,125000.0,25-34,5-9 yrs
28.0,Male,Bachelor's,Senior Software Engineer,7.0,175000.0,25-34,5-9 yrs
44.0,Male,Phd,Software Engineer Manager,18.0,190000.0,35-44,15-19 yrs
33.0,Female,Master's,Back End Developer,5.0,110000.0,25-34,5-9 yrs
50.0,Male,Phd,Senior Project Engineer,16.0,195000.0,45-54,15-19 yrs
27.0,Female,Master's,Full Stack Engineer,3.0,100000.0,25-34,2-4 yrs
25.0,Male,Bachelor's,Front End Developer,1.0,60000.0,25-34,0-1 yrs
35.0,Male,Master's,Senior Software Engineer,8.0,155000.0,35-44,5-9 yrs
47.0,Female,Phd,Full Stack Engineer,12.0,175000.0,45-54,10-14 yrs
46.0,Female,Master's,Senior Project Engineer,13.0,180000.0,45-54,10-14 yrs
32.0,Male,Bachelor's,Back End Developer,4.0,95000.0,25-34,2-4 yrs
61.0,Male,Phd,Software Engineer Manager,20.0,200000.0,55+,20+ yrs
41.0,Male,Master's,Senior Software Engineer,11.0,165000.0,35-44,10-14 yrs
37.0,Male,Master's,Senior Project Engineer,9.0,145000.0,35-44,5-9 yrs
53.0,Male,Phd,Software Engineer Manager,19.0,195000.0,45-54,15-19 yrs
30.0,Female,Bachelor's,Front End Developer,2.0,75000.0,25-34,2-4 yrs
26.0,Female,Master's,Back End Developer,3.0,90000.0,25-34,2-4 yrs
37.0,Female,Master's,Senior Software Engineer,9.0,155000.0,35-44,5-9 yrs
32.0,Male,Bachelor's,Full Stack Engineer,5.0,115000.0,25-34,5-9 yrs
44.0,Female,Master's,Senior Software Engineer,12.0,170000.0,35-44,10-14 yrs
50.0,Female,Phd,Software Engineer Manager,16.0,190000.0,45-54,15-19 yrs
27.0,Male,Bachelor's,Senior Project Engineer,4.0,115000.0,25-34,2-4 yrs
42.0,Male,Phd,Full Stack Engineer,14.0,180000.0,35-44,10-14 yrs
57.0,Male,Phd,Software Engineer Manager,18.0,195000.0,55+,15-19 yrs
35.0,Male,Master's,Senior Software Engineer,7.0,140000.0,35-44,5-9 yrs
62.0,Male,Phd,Software Engineer Manager,19.0,200000.0,55+,15-19 yrs
26.0,Female,Master's,Back End Developer,2.0,70000.0,25-34,2-4 yrs
42.0,Female,Master's,Senior Project Engineer,11.0,170000.0,35-44,10-14 yrs
41.0,Female,Phd,Software Engineer Manager,14.0,185000.0,35-44,10-14 yrs
36.0,Female,Master's,Full Stack Engineer,8.0,140000.0,35-44,5-9 yrs
49.0,Male,Phd,Software Engineer Manager,15.0,185000.0,45-54,15-19 yrs
49.0,Male,Phd,Senior Project Engineer,15.0,185000.0,45-54,15-19 yrs
47.0,Male,Phd,Software Engineer Manager,15.0,180000.0,45-54,15-19 yrs
47.0,Male,Phd,Senior Software Engineer,14.0,175000.0,45-54,10-14 yrs
26.0,Male,Bachelor's,Front End Developer,2.0,70000.0,25-34,2-4 yrs
24.0,Female,Bachelor's,Back End Developer,1.0,60000.0,18-24,0-1 yrs
62.0,Male,Phd,Software Engineer Manager,20.0,200000.0,55+,20+ yrs
42.0,Male,Phd,Senior Software Engineer,14.0,170000.0,35-44,10-14 yrs
41.0,Female,Master's,Senior Project Engineer,11.0,165000.0,35-44,10-14 yrs
23.0,Male,Bachelor's,Full Stack Engineer,1.0,55000.0,18-24,0-1 yrs
55.0,Male,Phd,Software Engineer Manager,17.0,190000.0,55+,15-19 yrs
33.0,Female,Bachelor's,Front End Developer,5.0,105000.0,25-34,5-9 yrs
31.0,Male,Master's,Full Stack Engineer,6.0,130000.0,25-34,5-9 yrs
50.0,Female,Phd,Software Engineer Manager,16.0,185000.0,45-54,15-19 yrs
24.0,Female,Master's,Back End Developer,1.0,60000.0,18-24,0-1 yrs
56.0,Male,Phd,Software Engineer Manager,17.0,195000.0,55+,15-19 yrs
24.0,Male,Bachelor's,Front End Developer,1.0,60000.0,18-24,0-1 yrs
37.0,Male,Master's,Senior Software Engineer,8.0,150000.0,35-44,5-9 yrs
43.0,Female,Phd,Senior Project Engineer,13.0,180000.0,35-44,10-14 yrs
34.0,Male,Master's,Back End Developer,6.0,125000.0,25-34,5-9 yrs
45.0,Male,Phd,Software Engineer Manager,15.0,185000.0,45-54,15-19 yrs
29.0,Male,Bachelor's,Full Stack Engineer,3.0,90000.0,25-34,2-4 yrs
29.0,Male,Bachelor's,Front End Developer,3.0,80000.0,25-34,2-4 yrs
29.0,Female,Bachelor's,Back End Developer,3.0,85000.0,25-34,2-4 yrs
48.0,Male,Phd,Senior Project Engineer,16.0,190000.0,45-54,15-19 yrs
43.0,Female,Master's,Software Engineer Manager,11.0,160000.0,35-44,10-14 yrs
54.0,Male,Phd,Software Engineer Manager,17.0,195000.0,45-54,15-19 yrs
60.0,Male,Phd,Software Engineer Manager,18.0,195000.0,55+,15-19 yrs
54.0,Female,Phd,Software Engineer Manager,14.0,190000.0,45-54,10-14 yrs
27.0,Female,Master's,Full Stack Engineer,3.0,95000.0,25-34,2-4 yrs
23.0,Male,Bachelor's,Back End Developer,1.0,55000.0,18-24,0-1 yrs
45.0,Male,Phd,Senior Software Engineer,13.0,185000.0,45-54,10-14 yrs
32.0,Female,Master's,Full Stack Engineer,5.0,120000.0,25-34,5-9 yrs
57.0,Male,Phd,Software Engineer Manager,16.0,195000.0,55+,15-19 yrs
47.0,Male,Phd,Software Engineer Manager,14.0,175000.0,45-54,10-14 yrs
25.0,Female,Master's,Back End Developer,2.0,75000.0,25-34,2-4 yrs
58.0,Male,Phd,Software Engineer Manager,17.0,200000.0,55+,15-19 yrs
41.0,Female,Master's,Senior Software Engineer,12.0,160000.0,35-44,10-14 yrs
41.0,Male,Phd,Software Engineer Manager,12.0,175000.0,35-44,10-14 yrs
47.0,Male,Phd,Senior Software Engineer,15.0,180000.0,45-54,15-19 yrs
32.0,Male,Bachelor's,Full Stack Engineer,5.0,120000.0,25-34,5-9 yrs
45.0,Male,Phd,Senior Project Engineer,14.0,185000.0,45-54,10-14 yrs
53.0,Male,Phd,Software Engineer Manager,18.0,195000.0,45-54,15-19 yrs
47.0,Female,Phd,Senior Software Engineer,14.0,170000.0,45-54,10-14 yrs
23.0,Male,Bachelor's,Front End Developer,1.0,55000.0,18-24,0-1 yrs
33.0,Male,Master's,Back End Developer,6.0,130000.0,25-34,5-9 yrs
42.0,Male,Phd,Software Engineer Manager,14.0,180000.0,35-44,10-14 yrs
37.0,Male,Master's,Senior Software Engineer,9.0,145000.0,35-44,5-9 yrs
44.0,Female,Master's,Senior Project Engineer,12.0,170000.0,35-44,10-14 yrs
38.0,Female,Master's,Back End Developer,10.0,155000.0,35-44,10-14 yrs
34.0,Male,Master's,Full Stack Engineer,6.0,125000.0,25-34,5-9 yrs
46.0,Female,Phd,Software Engineer Manager,14.0,180000.0,45-54,10-14 yrs
30.0,Male,Bachelor's,Back End Developer,4.0,95000.0,25-34,2-4 yrs
44.0,Female,Master's,Senior Software Engineer,11.0,170000.0,35-44,10-14 yrs
42.0,Male,Phd,Senior Project Engineer,14.0,175000.0,35-44,10-14 yrs
27.0,Male,Bachelor's,Front End Developer,3.0,80000.0,25-34,2-4 yrs
54.0,Male,Phd,Software Engineer Manager,18.0,195000.0,45-54,15-19 yrs
38.0,Male,Master's,Senior Software Engineer,10.0,155000.0,35-44,10-14 yrs
31.0,Male,Master's,Senior Project Engineer,6.0,125000.0,25-34,5-9 yrs
28.0,Female,Master's,Full Stack Engineer,4.0,110000.0,25-34,2-4 yrs
30.0,Female,Master's,Back End Developer,6.0,130000.0,25-34,5-9 yrs
54.0,Male,Phd,Software Engineer Manager,16.0,190000.0,45-54,15-19 yrs
37.0,Male,Master's,Senior Software Engineer,9.0,150000.0,35-44,5-9 yrs
31.0,Male,Master's,Senior Software Engineer,7.0,140000.0,25-34,5-9 yrs
58.0,Female,Phd,Software Engineer Manager,17.0,195000.0,55+,15-19 yrs
23.0,Female,Bachelor's,Back End Developer,1.0,55000.0,18-24,0-1 yrs
52.0,Female,Phd,Software Engineer Manager,16.0,190000.0,45-54,15-19 yrs
32.0,Female,Master's,Full Stack Engineer,6.0,130000.0,25-34,5-9 yrs
32.0,Male,Master's,Back End Developer,6.0,130000.0,25-34,5-9 yrs
34.0,Male,Master's,Full Stack Engineer,7.0,140000.0,25-34,5-9 yrs
28.0,Male,Bachelor's,Front End Developer,2.0,70000.0,25-34,2-4 yrs
44.0,Male,Master's,Senior Project Engineer,11.0,170000.0,35-44,10-14 yrs
46.0,Male,Phd,Software Engineer Manager,14.0,180000.0,45-54,10-14 yrs
27.0,Female,Master's,Back End Developer,2.0,70000.0,25-34,2-4 yrs
23.0,Female,Bachelor's,Front End Developer,1.0,55000.0,18-24,0-1 yrs
43.0,Male,Phd,Software Engineer Manager,13.0,180000.0,35-44,10-14 yrs
28.0,Female,Bachelor's,Front End Developer,2.0,70000.0,25-34,2-4 yrs
43.0,Male,Master's,Senior Project Engineer,12.0,165000.0,35-44,10-14 yrs
43.0,Male,Phd,Senior Project Engineer,13.0,185000.0,35-44,10-14 yrs
36.0,Male,Master's,Senior Software Engineer,7.0,140000.0,35-44,5-9 yrs
28.0,Female,Bachelor's,Front End Developer,3.0,80000.0,25-34,2-4 yrs
28.0,Female,Master's,Back End Developer,3.0,90000.0,25-34,2-4 yrs
43.0,Male,Phd,Senior Software Engineer,12.0,170000.0,35-44,10-14 yrs
44.0,Male,Phd,Senior Project Engineer,12.0,170000.0,35-44,10-14 yrs
37.0,Male,Master's,Senior Software Engineer,10.0,155000.0,35-44,10-14 yrs
56.0,Male,Phd,Software Engineer Manager,18.0,195000.0,55+,15-19 yrs
27.0,Male,Bachelor's,Front End Developer,2.0,70000.0,25-34,2-4 yrs
31.0,Male,Master's,Full Stack Engineer,7.0,140000.0,25-34,5-9 yrs
50.0,Male,Phd,Software Engineer Manager,16.0,190000.0,45-54,15-19 yrs
33.0,Male,Master's,Full Stack Engineer,6.0,130000.0,25-34,5-9 yrs
41.0,Male,Phd,Senior Project Engineer,12.0,165000.0,35-44,10-14 yrs
24.0,Female,Bachelor's,Front End Developer,1.0,55000.0,18-24,0-1 yrs
43.0,Male,Phd,Senior Project Engineer,12.0,165000.0,35-44,10-14 yrs
58.0,Male,Phd,Software Engineer Manager,17.0,195000.0,55+,15-19 yrs
29.0,Female,Bachelor's,Front End Developer,3.0,85000.0,25-34,2-4 yrs
52.0,Male,Phd,Software Engineer Manager,18.0,200000.0,45-54,15-19 yrs
36.0,Male,Master's,Full Stack Engineer,8.0,140000.0,35-44,5-9 yrs
26.0,Male,Bachelor's,Back End Developer,2.0,65000.0,25-34,2-4 yrs
47.0,Male,Phd,Senior Project Engineer,16.0,190000.0,45-54,15-19 yrs
32.0,Male,Master's,Full Stack Engineer,6.0,120000.0,25-34,5-9 yrs
57.0,Male,Phd,Software Engineer Manager,18.0,200000.0,55+,15-19 yrs
51.0,Male,Phd,Software Engineer Manager,16.0,190000.0,45-54,15-19 yrs
27.0,Female,Master's,Back End Developer,2.0,65000.0,25-34,2-4 yrs
36.0,Male,Master's,Full Stack Engineer,7.0,130000.0,35-44,5-9 yrs
33.0,Female,Master's,Full Stack Engineer,5.0,120000.0,25-34,5-9 yrs
25.0,Male,Bachelor's,Front End Developer,1.0,55000.0,25-34,0-1 yrs
40.0,Male,Phd,Senior Software Engineer,12.0,160000.0,35-44,10-14 yrs
36.0,Male,Master's,Senior Software Engineer,8.0,140000.0,35-44,5-9 yrs
31.0,Male,Master's,Senior Project Engineer,7.0,135000.0,25-34,5-9 yrs
24.0,Male,Bachelor's,Back End Developer,1.0,55000.0,18-24,0-1 yrs
34.0,Male,Bachelor's,Front End Developer,5.0,95000.0,25-34,5-9 yrs
43.0,Female,Master's,Senior Software Engineer,12.0,170000.0,35-44,10-14 yrs
27.0,Male,Bachelor's,Back End Developer,2.0,75000.0,25-34,2-4 yrs
56.0,Female,Phd,Software Engineer Manager,18.0,210000.0,55+,15-19 yrs
32.0,Male,Master's,Full Stack Engineer,7.0,135000.0,25-34,5-9 yrs
46.0,Male,Phd,Senior Project Engineer,16.0,190000.0,45-54,15-19 yrs
41.0,Female,Phd,Senior Project Engineer,11.0,165000.0,35-44,10-14 yrs
34.0,Male,Bachelor's,Back End Developer,6.0,120000.0,25-34,5-9 yrs
40.0,Female,Phd,Senior Software Engineer,12.0,160000.0,35-44,10-14 yrs
24.0,Male,Bachelor's,Front End Developer,1.0,55000.0,18-24,0-1 yrs
36.0,Male,Bachelor's,Front End Developer,7.0,120000.0,35-44,5-9 yrs
29.0,Female,Master's,Back End Developer,3.0,90000.0,25-34,2-4 yrs
41.0,Female,Phd,Software Engineer Manager,14.0,180000.0,35-44,10-14 yrs
33.0,Male,Bachelor's,Full Stack Engineer,7.0,130000.0,25-34,5-9 yrs
42.0,Male,Phd,Senior Software Engineer,12.0,170000.0,35-44,10-14 yrs
28.0,Male,Bachelor's,Back End Developer,2.0,70000.0,25-34,2-4 yrs
55.0,Male,Phd,Software Engineer Manager,18.0,210000.0,55+,15-19 yrs
26.0,Female,Master's,Front End Developer,1.0,55000.0,25-34,0-1 yrs
44.0,Female,Phd,Software Engineer Manager,11.0,165000.0,35-44,10-14 yrs
30.0,Male,Master's,Full Stack Engineer,5.0,105000.0,25-34,5-9 yrs
39.0,Female,Master's,Senior Software Engineer,11.0,160000.0,35-44,10-14 yrs
32.0,Male,Bachelor's,Front End Developer,6.0,110000.0,25-34,5-9 yrs
50.0,Male,Phd,Software Engineer Manager,17.0,195000.0,45-54,15-19 yrs
27.0,Male,Bachelor's,Back End Developer,3.0,85000.0,25-34,2-4 yrs
46.0,Male,Phd,Senior Project Engineer,14.0,180000.0,45-54,10-14 yrs
25.0,Female,Bachelor's,Front End Developer,1.0,55000.0,25-34,0-1 yrs
35.0,Male,Bachelor's,Back End Developer,8.0,140000.0,35-44,5-9 yrs
35.0,Male,Bachelor's,Full Stack Engineer,8.0,145000.0,35-44,5-9 yrs
41.0,Male,Phd,Senior Project Engineer,13.0,185000.0,35-44,10-14 yrs
33.0,Male,Bachelor's,Front End Developer,6.0,110000.0,25-34,5-9 yrs
31.0,Male,Bachelor's,Front End Developer,6.0,115000.0,25-34,5-9 yrs
42.0,Female,Master's,Software Engineer Manager,13.0,170000.0,35-44,10-14 yrs
27.0,Female,Bachelor's,Back End Developer,3.0,80000.0,25-34,2-4 yrs
51.0,Male,Phd,Senior Project Engineer,19.0,200000.0,45-54,15-19 yrs
34.0,Female,Master's,Full Stack Engineer,7.0,130000.0,25-34,5-9 yrs
38.0,Male,Bachelor's,Software Engineer Manager,11.0,155000.0,35-44,10-14 yrs
29.0,Male,Bachelor's,Front End Developer,5.0,105000.0,25-34,5-9 yrs
43.0,Female,Phd,Senior Project Engineer,14.0,190000.0,35-44,10-14 yrs
36.0,Male,Master's,Back End Developer,8.0,140000.0,35-44,5-9 yrs
48.0,Male,Phd,Software Engineer Manager,16.0,185000.0,45-54,15-19 yrs
35.0,Female,Bachelor's,Full Stack Engineer,8.0,145000.0,35-44,5-9 yrs
30.0,Female,Master's,Front End Developer,4.0,90000.0,25-34,2-4 yrs
50.0,Male,Phd,Senior Project Engineer,18.0,195000.0,45-54,15-19 yrs
29.0,Male,Bachelor's,Back End Developer,4.0,95000.0,25-34,2-4 yrs
41.0,Male,Master's,Software Engineer Manager,13.0,170000.0,35-44,10-14 yrs
33.0,Female,Bachelor's,Full Stack Engineer,6.0,115000.0,25-34,5-9 yrs
45.0,Male,Phd,Senior Project Engineer,16.0,185000.0,45-54,15-19 yrs
28.0,Female,Bachelor's,Front End Developer,2.0,65000.0,25-34,2-4 yrs
39.0,Female,Master's,Software Engineer Manager,12.0,160000.0,35-44,10-14 yrs
30.0,Male,Bachelor's,Back End Developer,5.0,100000.0,25-34,5-9 yrs
46.0,Male,Phd,Senior Project Engineer,15.0,180000.0,45-54,15-19 yrs
42.0,Male,Phd,Software Engineer Manager,14.0,190000.0,35-44,10-14 yrs
31.0,Male,Bachelor's,Full Stack Engineer,6.0,115000.0,25-34,5-9 yrs
49.0,Female,Phd,Senior Project Engineer,17.0,195000.0,45-54,15-19 yrs
36.0,Male,Master's,Back End Developer,9.0,150000.0,35-44,5-9 yrs
45.0,Male,Phd,Software Engineer Manager,16.0,185000.0,45-54,15-19 yrs
25.0,Female,Bachelor's,Front End Developer,1.0,550.0,25-34,0-1 yrs
29.0,Male,Bachelor's,Front End Developer,4.0,90000.0,25-34,2-4 yrs
40.0,Female,Master's,Software Engineer Manager,12.0,160000.0,35-44,10-14 yrs
33.0,Female,Master's,Full Stack Engineer,6.0,115000.0,25-34,5-9 yrs
37.0,Male,Bachelor's,Software Engineer Manager,10.0,150000.0,35-44,10-14 yrs
28.0,Male,Bachelor's,Front End Developer,2.0,65000.0,25-34,2-4 yrs
44.0,Female,Phd,Senior Project Engineer,14.0,190000.0,35-44,10-14 yrs
35.0,Male,Master's,Back End Developer,8.0,140000.0,35-44,5-9 yrs
47.0,Male,Phd,Software Engineer Manager,16.0,185000.0,45-54,15-19 yrs
34.0,Female,Bachelor's,Full Stack Engineer,7.0,130000.0,25-34,5-9 yrs
31.0,Female,Master's,Front End Developer,5.0,105000.0,25-34,5-9 yrs
